_SC_Ganguly&P_Kumar,1
_BB_McCullum&P_Kumar,1
_BB_McCullum&P_Kumar,1
_BB_McCullum&Z_Khan,4
_BB_McCullum&Z_Khan,4
_BB_McCullum&Z_Khan,6
_BB_McCullum&Z_Khan,4
_SC_Ganguly&P_Kumar,1
_BB_McCullum&P_Kumar,4
_BB_McCullum&P_Kumar,1
_BB_McCullum&AA_Noffke,5
_BB_McCullum&AA_Noffke,6
_BB_McCullum&AA_Noffke,1
_SC_Ganguly&AA_Noffke,4
_SC_Ganguly&AA_Noffke,1
_BB_McCullum&AA_Noffke,6
_SC_Ganguly&P_Kumar,4
_SC_Ganguly&P_Kumar,1
_BB_McCullum&P_Kumar,4
_BB_McCullum&P_Kumar,1
_BB_McCullum&Z_Khan,1
_BB_McCullum&AA_Noffke,1
_RT_Ponting&AA_Noffke,1
_BB_McCullum&AA_Noffke,1
_RT_Ponting&AA_Noffke,2
_RT_Ponting&AA_Noffke,1
_BB_McCullum&AA_Noffke,1
_BB_McCullum&Z_Khan,1
_RT_Ponting&Z_Khan,1
_BB_McCullum&Z_Khan,1
_RT_Ponting&Z_Khan,1
_BB_McCullum&Z_Khan,1
_BB_McCullum&JH_Kallis,1
_RT_Ponting&JH_Kallis,1
_BB_McCullum&JH_Kallis,2
_RT_Ponting&SB_Joshi,1
_BB_McCullum&SB_Joshi,1
_RT_Ponting&SB_Joshi,1
_BB_McCullum&SB_Joshi,6
_BB_McCullum&SB_Joshi,1
_BB_McCullum&JH_Kallis,1
_RT_Ponting&JH_Kallis,4
_RT_Ponting&JH_Kallis,6
_RT_Ponting&JH_Kallis,4
_BB_McCullum&SB_Joshi,6
_BB_McCullum&SB_Joshi,2
_BB_McCullum&SB_Joshi,1
_RT_Ponting&SB_Joshi,1
_BB_McCullum&JH_Kallis,4
_BB_McCullum&JH_Kallis,2
_BB_McCullum&JH_Kallis,1
_BB_McCullum&JH_Kallis,4
_BB_McCullum&JH_Kallis,1
_BB_McCullum&SB_Joshi,1
_DJ_Hussey&SB_Joshi,1
_BB_McCullum&SB_Joshi,1
_DJ_Hussey&SB_Joshi,1
_BB_McCullum&SB_Joshi,2
_DJ_Hussey&CL_White,4
_DJ_Hussey&CL_White,1
_BB_McCullum&CL_White,6
_BB_McCullum&CL_White,4
_BB_McCullum&CL_White,2
